provincia_nombre,provincia_id,provincia_poblacion,circunscripcion_judicial_nombre,unidad_judicial_nombre,institucion_nombre,variable_nombre,variable_anio,variable_mes,variable_delito,variable_cantidad
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,1,Todos,72
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,2,Todos,253
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,3,Todos,374
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,4,Todos,465
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,5,Todos,415
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,6,Todos,353
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,7,Todos,72
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,8,Todos,330
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,9,Todos,285
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,10,Todos,305
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,11,Todos,199
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2015,12,Todos,227
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2015,1,Todos,3
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2015,2,Todos,11
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2015,3,Todos,12
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2015,4,Todos,22
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2015,5,Todos,26
Chubut,26,566922,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2015,6,Todos,33
